Question,Response,Emotion,Dialogue Act,Conversation Type
Can we talk about that project now?,"Sure, let's go over the details.",happiness,directive,relationship
Have you ever been to Paris?,"I'm not sure, maybe it's just stress.",happiness,directive,culture & education
Why do you seem so distant these days?,I've just had a lot on my mind recently.,disgust,directive,health
What's been bothering you lately?,"I'm really sorry, something came up.",sadness,commissive,finance
What's been bothering you lately?,It's challenging but rewarding.,sadness,question,ordinary life
Why didn't you call me back last night?,"I'm really sorry, something came up.",anger,inform,work
Can we talk about that project now?,"I'm thinking of a road trip, actually.",disgust,directive,work
Why do you seem so distant these days?,I've just had a lot on my mind recently.,anger,directive,tourism
Could you share your thoughts on the recent elections?,"Sure, let's go over the details.",anger,question,school life
Why didn't you call me back last night?,"I'm thinking of a road trip, actually.",surprise,inform,politics
Do you think we'll finish this task on time?,"I'm thinking of a road trip, actually.",happiness,inform,politics
"I heard you got a new job, how is it going?","I'm thinking of a road trip, actually.",fear,question,culture & education
Why do you seem so distant these days?,"Honestly, I think it's going to change a lot of things.",anger,question,attitude & emotion
Have you ever been to Paris?,"Sure, let's go over the details.",sadness,directive,tourism
What are your plans for the weekend?,It's challenging but rewarding.,happiness,question,ordinary life
"I am thinking of learning a new language, any suggestions?","I'm not sure, maybe it's just stress.",disgust,directive,finance
"I heard you got a new job, how is it going?",I'd say start with something like Spanish.,anger,question,relationship
Could you share your thoughts on the recent elections?,"I'm not sure, maybe it's just stress.",anger,question,relationship
Why didn't you call me back last night?,"Honestly, I think it's going to change a lot of things.",happiness,directive,ordinary life
Have you ever been to Paris?,It's challenging but rewarding.,happiness,commissive,school life
What are your plans for the weekend?,"Yes, it's beautiful! You should definitely visit.",fear,inform,attitude & emotion
What's been bothering you lately?,"I'm really sorry, something came up.",sadness,question,tourism
"I am thinking of learning a new language, any suggestions?","I'm really sorry, something came up.",fear,inform,work
Can we talk about that project now?,"I'm not sure, maybe it's just stress.",disgust,inform,politics
Can we talk about that project now?,"I'm really sorry, something came up.",anger,directive,tourism
"I am thinking of learning a new language, any suggestions?","I'm really sorry, something came up.",fear,commissive,politics
Could you share your thoughts on the recent elections?,"I'm thinking of a road trip, actually.",happiness,directive,attitude & emotion
Have you ever been to Paris?,"Honestly, I think it's going to change a lot of things.",anger,inform,finance
What are your plans for the weekend?,"Honestly, I think it's going to change a lot of things.",anger,commissive,health
"I am thinking of learning a new language, any suggestions?","Yes, it's beautiful! You should definitely visit.",fear,question,tourism
"I heard you got a new job, how is it going?",I'd say start with something like Spanish.,fear,commissive,finance
Can we talk about that project now?,"I'm thinking of a road trip, actually.",surprise,question,relationship
Can we talk about that project now?,"If we push hard, we definitely can.",fear,directive,attitude & emotion
Could you share your thoughts on the recent elections?,"Sure, let's go over the details.",happiness,inform,politics
Why didn't you call me back last night?,"I'm thinking of a road trip, actually.",anger,commissive,culture & education
Why do you seem so distant these days?,"Honestly, I think it's going to change a lot of things.",fear,question,politics
Can we talk about that project now?,"I'm not sure, maybe it's just stress.",fear,inform,work
Why didn't you call me back last night?,"Honestly, I think it's going to change a lot of things.",disgust,commissive,relationship
Why do you seem so distant these days?,"I'm not sure, maybe it's just stress.",sadness,inform,culture & education
Why didn't you call me back last night?,I've just had a lot on my mind recently.,disgust,inform,school life
What are your plans for the weekend?,It's challenging but rewarding.,disgust,inform,attitude & emotion
What's been bothering you lately?,I've just had a lot on my mind recently.,happiness,question,work
"I am thinking of learning a new language, any suggestions?","I'm really sorry, something came up.",anger,question,relationship
What's been bothering you lately?,"I'm thinking of a road trip, actually.",sadness,directive,culture & education
Why didn't you call me back last night?,"Sure, let's go over the details.",surprise,directive,health
Why do you seem so distant these days?,I've just had a lot on my mind recently.,fear,commissive,culture & education
What are your plans for the weekend?,"I'm really sorry, something came up.",surprise,directive,ordinary life
Why didn't you call me back last night?,It's challenging but rewarding.,anger,question,health
"I am thinking of learning a new language, any suggestions?","I'm not sure, maybe it's just stress.",surprise,directive,culture & education
What are your plans for the weekend?,"I'm thinking of a road trip, actually.",sadness,directive,work
Have you ever been to Paris?,"If we push hard, we definitely can.",disgust,directive,attitude & emotion
Have you ever been to Paris?,"Honestly, I think it's going to change a lot of things.",sadness,question,ordinary life
"I heard you got a new job, how is it going?","Yes, it's beautiful! You should definitely visit.",sadness,inform,tourism
What are your plans for the weekend?,I'd say start with something like Spanish.,sadness,question,tourism
Why do you seem so distant these days?,"I'm really sorry, something came up.",disgust,directive,attitude & emotion
